Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"30/10/2015","DOORIEL, BALLYCROY, WESTPORT","","Mayo","€48,613.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"30/10/2015","MOYNE OWER, HEADFORD, CO GALWAY","","Mayo","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"30/10/2015","No. 67, Bruach na hAbhainn, Altamont Street","","Mayo","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/11/2015","38 FATHER ANGELUS PARK, WESTPORT, MAYO","","Mayo","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/11/2015","BOWGATE ST, BALLINROBE, MAYO","","Mayo","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/11/2015","CLOONCOUSE, CHARLESTOWN, MAYO","","Mayo","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/11/2015","Culleen, Cong, Co. Mayo","","Mayo","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/11/2015","NO 4 BLOCK B, SILVERBRIDGE COURT, CLAREMORRIS","","Mayo","€20,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/11/2015","NO 5 BLOCK B, SILVERBRIDGE COURT, CLAREMORRIS","","Mayo","€20,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/11/2015","Station Road, Castlebar","","Mayo","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/11/2015","THE BRAE, DOOAGH, ACHILL","","Mayo","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/11/2015","ACCONY, LOUISBURGH, MAYO","","Mayo","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/11/2015","BALLYTEIGE, GLENHEST, NEWPORT","","Mayo","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/11/2015","Carrowgarve, Balla, Mayo","","Mayo","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/11/2015","3 MONUMENT VIEW, WESTPORT, MAYO","","Mayo","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/11/2015","43 CASTLEGROVE, CASTLEBAR, MAYO","","Mayo","€71,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/11/2015","BALLYMACHOLA, CROSSMOLINA, COUNTY MAYO","","Mayo","€15,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/11/2015","HAZELHILL, BALLYHAUNIS, MAYO","","Mayo","€82,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/11/2015","NORTH SIDE OF MAIN STREET, BALLYHAUNIS, CO MAYO","","Mayo","€23,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/11/2015","8 Ashwood, Breaffy Road, Castlebar","","Mayo","€196,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/11/2015","APARTMENT 3 HARMONY HEIGHT, CASTLEBAR CO MAYO","","Mayo","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/11/2015","12 PAIRC NA COILLE, WESTPORT, MAYO","","Mayo","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/11/2015","16 Riverwalk, Crossmolina","","Mayo","€71,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/11/2015","3 ABBEY VALE, BALLYHAUNIS, MAYO","","Mayo","€48,200.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/11/2015","36 KILBEAGH VILLAGE, CHARLESTOWN, MAYO","","Mayo","€67,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/11/2015","38 MANOR VILLAGE, CASTLEBAR, MAYO","","Mayo","€122,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/11/2015","39 CASTLEHILL PARK, TURLOUGH RD, CASTLEBAR","","Mayo","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/11/2015","5 SANDYMOUNT, NEWPORT, CO. MAYO","","Mayo","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/11/2015","Ardvarney, Moygownagh, Ballina","","Mayo","€79,295.15","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/11/2015","HAGFIELD, CHARLESTOWN, MAYO","","Mayo","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/11/2015","ROSEBANK COTTAGE, DUGORT ACHILL ISLAND, WESTPORT","","Mayo","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/11/2015","16 GRATTAN CRESENT, CLAREMORRIS, MAYO","","Mayo","€92,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/11/2015","17 THE RAILWALK, WESTPORT, MAYO","","Mayo","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/11/2015","2 OLD MILL RD, BALLYVARY, MAYO","","Mayo","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/11/2015","47 CASTLECOURT, BALLINA, CO MAYO","","Mayo","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/11/2015","7 KILBEAGH VILLAGE, CHARLESTOWN, CO MAYO","","Mayo","€55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/11/2015","BALLYGLASS, KILMOVEE, BALLAGHADEREEN","","Mayo","€35,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/11/2015","DERRYCOOSH, ISLANDEADY, CASTLEBAR","","Mayo","€173,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/11/2015","10 BEACH COTTAGES, DUGORT, ACHILL","","Mayo","€169,950.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/11/2015","No. 10 Orchard Court, Elm Park  Knock Road, Claremorris","","Mayo","€34,600.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
